# weak scaling results
# series=w1m
P,iter,rank,comm_us,comp_us,total_us,gflops,nnz
1,0,0,2.62260437011719,1682.51991271973,1685.14251708984,1.18684323712507,1000000
1,1,0,0.715255737304688,1393.79501342773,1394.51026916504,1.43419524705078,1000000
1,2,0,0.476837158203125,13946.2947845459,13946.7716217041,0.143402362514317,1000000
1,3,0,3.814697265625,6711.00616455078,6714.82086181641,0.297848601050987,1000000
1,4,0,4.52995300292969,1753.80706787109,1758.33702087402,1.13743837288136,1000000
1,5,0,1.19209289550781,1544.23713684082,1545.42922973633,1.29413884603517,1000000
1,6,0,0.95367431640625,11351.3469696045,11352.3006439209,0.17617574293815,1000000
1,7,0,4.76837158203125,1753.09181213379,1757.86018371582,1.13774691441747,1000000
1,8,0,1.19209289550781,11105.7758331299,11106.9679260254,0.180067144635727,1000000
1,9,0,4.29153442382812,1743.55506896973,1747.84660339355,1.14426517528304,1000000
2,0,0,401.973724365234,5926.13220214844,6328.10592651367,0.63210067063522,2000000
2,1,0,467.777252197266,19533.1573486328,20000.9346008301,0.199990654428418,2000000
2,2,0,62567.2340393066,22956.8481445312,85524.0821838379,0.0467704522265649,2000000
2,3,0,441.312789916992,25420.6657409668,25861.9785308838,0.154667207507859,2000000
2,4,0,447.988510131836,15909.9102020264,16357.8987121582,0.244530185104212,2000000
2,5,0,41698.694229126,18823.3852386475,60522.0794677734,0.0660915823642495,2000000
2,6,0,1000.16593933105,17395.4963684082,18395.6623077393,0.21744256515935,2000000
2,7,0,333.786010742188,16601.3240814209,16935.1100921631,0.236195689206121,2000000
2,8,0,66848.9933013916,6132.84111022949,72981.8344116211,0.0548081592117815,2000000
2,9,0,25241.6133880615,19541.9788360596,44783.5922241211,0.0893184267126642,2000000
2,0,1,405.311584472656,20536.6611480713,20941.9727325439,0.191003973268668,2000000
2,1,1,448.226928710938,22218.7042236328,22666.9311523438,0.176468529114776,2000000
2,2,1,58136.4631652832,6100.89302062988,64237.3561859131,0.0622690633223348,2000000
2,3,1,478.982925415039,6225.1091003418,6704.09202575684,0.596650521000036,2000000
2,4,1,436.067581176758,20619.1539764404,21055.2215576172,0.189976628317782,2000000
2,5,1,31919.002532959,6101.13143920898,38020.133972168,0.105207414653724,2000000
2,6,1,476.837158203125,17005.9204101562,17482.7575683594,0.228796857953306,2000000
2,7,1,327.587127685547,17465.8298492432,17793.4169769287,0.224802240355884,2000000
