# weak scaling results
# series=w500k
P,iter,rank,comm_us,comp_us,total_us,gflops,nnz
1,0,0,2.38418579101562,760.555267333984,762.939453125,1.31072,500000
1,1,0,0.715255737304688,606.536865234375,607.25212097168,1.64676246564586,500000
1,2,0,0.715255737304688,587.224960327148,587.940216064453,1.70085320356853,500000
1,3,0,0.476837158203125,596.523284912109,597.000122070312,1.67504153354633,500000
1,4,0,0.476837158203125,586.986541748047,587.46337890625,1.70223376623377,500000
1,5,0,0.476837158203125,601.530075073242,602.006912231445,1.66111049504951,500000
1,6,0,0.715255737304688,587.224960327148,587.940216064453,1.70085320356853,500000
1,7,0,0.476837158203125,597.476959228516,597.953796386719,1.67237001594896,500000
1,8,0,0.715255737304688,596.284866333008,597.000122070312,1.67504153354633,500000
1,9,0,0.715255737304688,587.224960327148,587.940216064453,1.70085320356853,500000
2,0,0,29639.0056610107,16395.8072662354,46034.8129272461,0.0434453812848294,1000000
2,1,0,30531.8832397461,2894.63996887207,33426.5232086182,0.0598327258721407,1000000
2,2,0,13484.7164154053,2860.54611206055,16345.2625274658,0.122359613168604,1000000
2,3,0,102.996826171875,2830.98220825195,2933.97903442383,0.681668129367788,1000000
2,4,0,14215.2309417725,3031.49223327637,17246.7231750488,0.115964057618403,1000000
2,5,0,125.16975402832,19142.6277160645,19267.7974700928,0.103800136113345,1000000
2,6,0,173.807144165039,2835.27374267578,3009.08088684082,0.664654781713018,1000000
2,7,0,86.7843627929688,2768.75495910645,2855.53932189941,0.700393086749603,1000000
2,8,0,94.8905944824219,17538.7859344482,17633.6765289307,0.113419342626519,1000000
2,9,0,24518.4898376465,17321.5866088867,41840.0764465332,0.0478010598894524,1000000
2,0,1,15063.5242462158,2890.82527160645,17954.3495178223,0.111393620694234,1000000
2,1,1,19706.2492370605,2987.86163330078,22694.1108703613,0.0881285903389154,1000000
2,2,1,888.347625732422,2846.95625305176,3735.30387878418,0.53543167166656,1000000
2,3,1,106.8115234375,2850.53253173828,2957.34405517578,0.67628248951951,1000000
2,4,1,16652.5840759277,2941.37001037598,19593.9540863037,0.102072302057603,1000000
2,5,1,141.85905456543,2919.67391967773,3061.53297424316,0.653267502530956,1000000
2,6,1,218.868255615234,2846.24099731445,3065.10925292969,0.652505289359054,1000000
2,7,1,93.2216644287109,2788.30528259277,2881.52694702148,0.694076452093331,1000000
2,8,1,86.7843627929688,14811.0389709473,14897.8233337402,0.13424779950709,1000000
2,9,1,14918.327331543,2896.54731750488,17814.8746490479,0.112265735201617,1000000
4,0,0,453.948974609375,2370.11909484863,2824.06806945801,1.41639645420008,2000000
4,1,0,19337.4156951904,2545.35675048828,21882.7724456787,0.182792194632993,2000000
4,2,0,539.541244506836,2624.9885559082,3164.52980041504,1.26401084909214,2000000
4,3,0,333.547592163086,14415.7409667969,14749.28855896,0.271199521523366,2000000
4,4,0,463.962554931641,12886.0473632812,13350.0099182129,0.299625245562025,2000000
4,5,0,26525.0205993652,2430.43899536133,28955.4595947266,0.138143205322443,2000000
4,6,0,19798.9940643311,13307.0945739746,33106.0886383057,0.120823696320675,2000000
4,7,0,23378.3721923828,2405.40504455566,25783.7772369385,0.155136307734985,2000000
4,8,0,31398.0579376221,2609.4913482666,34007.5492858887,0.117620942525835,2000000
4,9,0,28977.632522583,2650.02250671387,31627.6550292969,0.126471595706187,2000000
4,0,1,404.119491577148,13425.1117706299,13829.231262207,0.289242397076064,2000000
